SampleID	TaxonID	GID	number	colldate	flowering_season_start	growing_season_start	elevation	latitude	longitude	dist	GR
SEEDGWAS1108	SEEDGWAS1108.MRG.4.250067806	G19327	CIMMYTMA-005943	1970-02-07	7	5	847	16.35071	-97.096379	1.41023151431423	CIMMYTMA
SEEDGWAS1109	SEEDGWAS1109.MRG.4.250067807	G19338	CIMMYTMA-005946	1970-02-08	7	5	1512	16.233634	-97.28339	1.62987793479696	CIMMYTMA
SEEDGWAS111	SEEDGWAS111.MRG.4.250054523	G8355	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS111	SEEDGWAS111.MRG.4.250054524	G8355	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1110	SEEDGWAS1110.MRG.4.250067808	G20674	CIMMYTMA-007062	1968-01-01	7	5	1181	21.696608	-104.088629	9.26097697929851	CIMMYTMA
SEEDGWAS1111	SEEDGWAS1111.MRG.4.250067809	G21866	CIMMYTMA-008131	1952-12-07	7	5	721	14.616667	-91.4	5.26943463655153	CIMMYTMA
SEEDGWAS1113	SEEDGWAS1113.MRG.4.250067810	G23547	CIMMYTMA-009999	1954-01-01	NA	NA	355	9.479349	-70.488501	26.6430581679609	CIMMYTMA
SEEDGWAS1114	SEEDGWAS1114.MRG.4.250067811	G23617	CIMMYTMA-010132	1954-01-01	9	7	76	9.157008	-71.058506	26.1955168717132	CIMMYTMA
SEEDGWAS1115	SEEDGWAS1115.MRG.4.250070129	G23866	CIMMYTMA-011062	1952-11-12	8	6	1516	7.917181	-72.008076	25.7156253682512	CIMMYTMA
SEEDGWAS1117	SEEDGWAS1117.MRG.4.250070130	G23915	CIMMYTMA-011287	1954-01-01	NA	NA	355	9.479349	-70.488501	26.6430581679609	CIMMYTMA
SEEDGWAS1118	SEEDGWAS1118.MRG.4.250070132	G24099	CIMMYTMA-013338	1944-01-01	7	5	25	14.663195	-92.138837	4.6152322529641	CIMMYTMA
SEEDGWAS112	SEEDGWAS112.MRG.4.250054525	G8395	CIMMYTMA-001945	1950-01-01	8	6	683	30.544226	-111.113435	20.1629317171111	CIMMYTMA
SEEDGWAS1120	SEEDGWAS1120.MRG.4.250070133	G24358	CIMMYTMA-013888	1944-01-01	7	5	1834	19.96666667	-102.7166667	7.27325792891712	CIMMYTMA
SEEDGWAS1121	SEEDGWAS1121.MRG.4.250070134	G24450	CIMMYTMA-014044	1952-02-04	7	5	1486	19.08333333	-97.03333333	2.1417151726025	CIMMYTMA
SEEDGWAS1122	SEEDGWAS1122.MRG.4.250070135	G24451	CIMMYTMA-014046	1952-02-04	7	5	49	18.390306	-96.282141	1.21107998215848	CIMMYTMA
SEEDGWAS1124	SEEDGWAS1124.MRG.4.250070137	G24623	CIMMYTMA-014222	1977-09-14	12	10	370	-17.82886	-62.994159	48.1297679602759	CIMMYTMA
SEEDGWAS1125	SEEDGWAS1125.MRG.4.250070138	G24628	CIMMYTMA-014227	1977-09-14	12	10	370	-17.82886	-62.994159	48.1297679602759	CIMMYTMA
SEEDGWAS1126	SEEDGWAS1126.MRG.4.250070139	G24966	CIMMYTMA-015356		7	5	2228	19.01666667	-99	3.51287326854942	CIMMYTMA
SEEDGWAS1128	SEEDGWAS1128.MRG.4.250070140	G25378	CIMMYTMA-016175	1972-01-01	7	5	726	15.7	-92.1	4.16899915780491	CIMMYTMA
SEEDGWAS113	SEEDGWAS113.MRG.4.250054526	G8805	CIMMYTMA-002106	1944-01-01	7	5	42	19.78333333	-90.61666667	5.94885565021638	CIMMYTMA
SEEDGWAS1130	SEEDGWAS1130.MRG.4.250070141	G25395	CIMMYTMA-016180	1972-01-01	7	5	40	16.08333333	-93.76666667	2.48958928864006	CIMMYTMA
SEEDGWAS1131	SEEDGWAS1131.MRG.4.250070142	G25407	CIMMYTMA-016206	1972-01-01	7	5	798	16.76666667	-93.38333333	2.63865469150479	CIMMYTMA
SEEDGWAS1133	SEEDGWAS1133.MRG.4.250070143	G25453	CIMMYTMA-016306	1952-01-29	7	5	1488	25.2	-104.5333333	11.6976968211221	CIMMYTMA
SEEDGWAS1134	SEEDGWAS1134.MRG.4.250070144	G25485	CIMMYTMA-016367	1972-01-01	7	5	1346	15.37229	-92.251361	4.1628525708837	CIMMYTMA
SEEDGWAS1135	SEEDGWAS1135.MRG.4.250070145	G26314	CIMMYTMA-018427	1974-01-01	7	5	1348	19.017868	-97.020133	2.07828758414253	CIMMYTMA
SEEDGWAS1136	SEEDGWAS1136.MRG.4.250070147	G26337	CIMMYTMA-018516	1952-02-10	7	5	1025	18.78333	-103.15	7.33590818129958	CIMMYTMA
SEEDGWAS1137	SEEDGWAS1137.MRG.4.250070148	G26476	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1138	SEEDGWAS1138.MRG.4.250070149	G26732	CIMMYTMA-019135	1985-10-26	5	3	257	-10.7	-38.18333333	64.1886302879325	CIMMYTMA
SEEDGWAS114	SEEDGWAS114.MRG.4.250054527	G8809	CIMMYTMA-002107	1944-01-01	7	5	7	18.04166	-91.642471	4.41856270217964	CIMMYTMA
SEEDGWAS1140	SEEDGWAS1140.MRG.4.250070150	G27005	CIMMYTMA-019861	1974-01-01	7	5	1486	19.08333333	-97.03333333	2.1417151726025	CIMMYTMA
SEEDGWAS1141	SEEDGWAS1141.MRG.4.250070151	G27036	CIMMYTMA-019958		7	5	1213	18.76666667	-98.98333333	3.37675894268456	CIMMYTMA
SEEDGWAS1142	SEEDGWAS1142.MRG.4.250070152	G27041	CIMMYTMA-019969		7	5	1213	18.76666667	-98.98333333	3.37675894268456	CIMMYTMA
SEEDGWAS1143	SEEDGWAS1143.MRG.4.250070153	G27075	CIMMYTMA-020330	1972-01-01	7	5	726	15.7	-92.1	4.16899915780491	CIMMYTMA
SEEDGWAS1144	SEEDGWAS1144.MRG.4.250070154	G27416	CIMMYTMA-021264	1973-12-06	7	5	1345	17.576119	-99.385656	3.42125818035309	CIMMYTMA
